date,st_time,en_time,room,course,group,study_title,lecturer_code,
2019-10-28,08:30 AM,09:30 AM,RM-001,PD-307,0,Study Title 01,<000011>,
2019-10-28,09:30 AM,10:30 AM,RM-001,PD-305,0,Study Title 02,<000025>,
2019-10-28,10:30 AM,11:00 AM,RM-001,BREAK,0,0,0,
2019-10-28,11:00 PM,12:00 PM,RM-001,PD-315,0,Study Title 02,<000025>,
2019-10-28,12:00 PM,02:30 PM,RM-001,PD-303,A,Study Title 05,<000067>,
2019-10-28,12:00 PM,02:30 PM,RM-001,PD-313,B,Study Title 05,<000011>,
2019-10-29,08:30 AM,09:30 AM,RM-001,PD-311,0,Study Title 01,<000011>,
2019-10-29,09:30 AM,10:30 AM,RM-001,PD-301,0,Study Title 02,<000025>,
2019-10-29,10:30 AM,11:00 AM,RM-001,BREAK,0,0,0,
2019-10-29,11:00 PM,12:00 PM,RM-001,PD-307,0,Study Title 02,<000025>,
2019-10-29,12:00 PM,02:30 PM,RM-001,PD-313,A,Study Title 05,<000067>,
2019-10-29,12:00 PM,02:30 PM,RM-001,SEMINAR,B,Study Title 05,<000011>,
2019-10-30,08:30 AM,09:30 AM,RM-001,PD-311,0,Study Title 01,<000011>,
2019-10-30,09:30 AM,10:30 AM,RM-001,PD-317,0,English,<000025>,
2019-10-30,10:30 AM,11:00 AM,RM-001,BREAK,0,0,0,
2019-10-30,11:00 PM,12:00 PM,RM-001,PD-317,0,English,<000025>,
2019-10-30,12:00 PM,01:00 PM,RM-001,PD-301,0,Study Title 05,<000067>,
2019-10-30,01:00 PM,02:30 PM,RM-001,OFF,0,0,0,
2019-10-31,08:30 AM,09:30 AM,RM-001,PD-307,0,Study Title 01,<000011>,
2019-10-31,09:30 AM,10:30 AM,RM-001,PD-317,0,Study Tile 09,<000025>,
2019-10-31,10:30 AM,11:00 AM,RM-001,BREAK,0,0,0,
2019-10-31,11:00 PM,12:00 PM,RM-001,PD-301,0,Study PD,<000025>,
2019-10-31,12:00 PM,02:30 PM,RM-001,PD-309,A,Study Title 05,<000067>,
2019-10-31,12:00 PM,02:30 PM,RM-001,PD-303,A,Study Title 05,<000067>,
