date,st_time,en_time,room,course,group,study_title,lecturer_code,prog_shift,program_code,campus_code,
2019-10-28,08:30 AM,09:30 AM,RM11,PD-307,0,Study Title 11,<000011>,Evening,BDS,DDC,
2019-10-28,09:30 AM,10:30 AM,RM21,PD-305,0,Study Title 12,<000025>,Morning,BDS,DDC,
2019-10-28,10:30 AM,11:00 AM,RM11,BREAK,0,0,0,Morning,BDS,DDC,
2019-10-28,11:00 PM,12:00 PM,RM12,PD-315,0,Study Title 12,<000025>,Morning,BDS,DDC,
2019-10-28,12:00 PM,02:30 PM,RM11,PD-303,A,Study Title 15,<000067>,Morning,BDS,DDC,
2019-10-28,12:00 PM,02:30 PM,RM11,PD-313,B,Study Title 15,<000011>,Morning,BDS,DDC,
2019-10-29,08:30 AM,09:30 AM,RM11,PD-311,0,Study Title 11,<000011>,Evening,BDS,DDC,
2019-10-29,09:30 AM,10:30 AM,RM11,PD-301,0,Study Title 12,<000025>,Morning,BDS,DDC,
2019-10-29,10:30 AM,11:00 AM,RM21,BREAK,0,0,0,Morning,BDS,DDC,
2019-10-29,11:00 PM,12:00 PM,RM11,PD-307,0,Study Title 12,<000025>,Morning,BDS,DDC,
2019-10-29,12:00 PM,02:30 PM,RM11,PD-313,A,Study Title 15,<000067>,Morning,BDS,DDC,
2019-10-29,12:00 PM,02:30 PM,RM11,SEMINAR,B,Study Title 15,<000011>,Morning,BDS,DDC,
2019-10-30,08:30 AM,09:30 AM,RM12,PD-311,0,Study Title 11,<000011>,Evening,BDS,DDC,
2019-10-30,09:30 AM,10:30 AM,RM11,PD-317,0,English,<000025>,Morning,BDS,DDC,
2019-10-30,10:30 AM,11:00 AM,RM11,BREAK,0,0,0,Morning,BDS,DDC,
2019-10-30,11:00 PM,12:00 PM,RM11,PD-317,0,English,<000025>,Morning,BDS,DDC,
2019-10-30,12:00 PM,01:00 PM,RM21,PD-301,0,Study Title 15,<000067>,Morning,BDS,DDC,
2019-10-30,01:00 PM,02:30 PM,RM11,OFF,0,0,0,Morning,BDS,DDC,
2019-10-31,08:30 AM,09:30 AM,RM12,PD-307,0,Study Title 11,<000011>,Evening,BDS,DDC,
2019-10-31,09:30 AM,10:30 AM,RM11,PD-317,0,Study Tile 19,<000025>,Morning,BDS,DDC,
2019-10-31,10:30 AM,11:00 AM,RM11,BREAK,0,0,0,Morning,BDS,DDC,
2019-10-31,11:00 PM,12:00 PM,RM11,PD-301,0,Study PD,<000025>,Morning,BDS,DDC,
2019-10-31,12:00 PM,02:30 PM,RM11,PD-309,A,Study Title 15,<000067>,Morning,BDS,DDC,
2019-10-31,12:00 PM,02:30 PM,RM21,PD-303,A,Study Title 15,<000067>,Evening,BDS,DDC,
