date,st_time,en_time,campus,room,program,shift,group,course,study_title,lecturer_code
18/11/2019,08:30 AM,10:30 AM,DMC,DMC-B01-R0101,MBBS,Morning,0,MB104,Study Title 111,<000098>
18/11/2019,10:30 AM,11:00 AM,DMC,DMC-B01-R0101,MBBS,Morning,0,BREAK,0,0
18/11/2019,11:00 AM,01:00 PM,DMC,DMC-B01-R0101,MBBS,Morning,0,MB104,Study Title 222,<000082>
18/11/2019,01:00 PM,02:00 PM,DMC,DMC-B01-R0101,MBBS,Morning,A,MB203,Study Title 333,<000094>
18/11/2019,02:00 PM,03:30 PM,DMC,DMC-B01-R0101,MBBS,Morning,B,MB105,Study Title 444,<000098>
19/11/2019,08:30 AM,10:30 AM,DMC,DMC-B01-R0101,MBBS,Morning,0,MB204,Study Title 555,<000082>
19/11/2019,10:30 AM,11:00 AM,DMC,DMC-B01-R0101,MBBS,Morning,0,BREAK,0,0
19/11/2019,11:00 AM,01:00 PM,DMC,DMC-B01-R0101,MBBS,Morning,0,MB102,ST 111,<000089>
19/11/2019,01:00 PM,02:00 PM,DMC,DMC-B01-R0101,MBBS,Morning,0,BREAK,0,0
19/11/2019,02:00 PM,03:30 PM,DMC,DMC-B01-R0101,MBBS,Morning,0,MB201,Study Title 666,<000083>
20/11/2019,08:30 AM,10:30 AM,DMC,DMC-B01-R0101,MBBS,Morning,0,MB204,Study Title 777,<000089>
20/11/2019,10:30 AM,11:00 AM,DMC,DMC-B01-R0101,MBBS,Morning,0,BREAK,0,0
20/11/2019,11:00 AM,01:00 PM,DMC,DMC-B01-R0101,MBBS,Morning,0,BREAK,0,0
20/11/2019,01:00 PM,02:00 PM,DMC,DMC-B01-R0101,MBBS,Morning,A,MB202,Study Title 888,<000086>
20/11/2019,02:00 PM,03:30 PM,DMC,DMC-B01-R0101,MBBS,Morning,B,MB203,Study Title 999,<000096>
21/11/2019,08:30 AM,10:30 AM,DMC,DMC-B01-R0101,MBBS,Morning,0,MB105,Study Title 112,<000089>
21/11/2019,10:30 AM,11:00 AM,DMC,DMC-B01-R0101,MBBS,Morning,0,BREAK,0,0
21/11/2019,11:00 AM,01:00 PM,DMC,DMC-B01-R0101,MBBS,Morning,0,MB203,Study Title 113,<000081>
21/11/2019,01:00 PM,02:00 PM,DMC,DMC-B01-R0101,MBBS,Morning,0,MB204,Study Title 221,<000086>
22/11/2019,08:30 AM,10:30 AM,DMC,DMC-B01-R0101,MBBS,Morning,0,MB205,Study Title 223,<000096>
22/11/2019,10:30 AM,11:00 AM,DMC,DMC-B01-R0101,MBBS,Morning,0,BREAK,0,0
22/11/2019,11:00 AM,01:00 PM,DMC,DMC-B01-R0101,MBBS,Morning,0,MB105,Study 221,<000094>
22/11/2019,01:00 PM,02:00 PM,DMC,DMC-B01-R0101,MBBS,Morning,A,MB104,Study Title 224,<000093>
22/11/2019,02:00 PM,03:30 PM,DMC,DMC-B01-R0101,MBBS,Morning,B,MB103,Study Title 225,<000083>
23/11/2019,08:30 AM,10:30 AM,DMC,DMC-B01-R0101,MBBS,Morning,0,MB205,Study Title 334,<000096>
23/11/2019,10:30 AM,11:00 AM,DMC,DMC-B01-R0101,MBBS,Morning,0,BREAK,0,0
23/11/2019,11:00 AM,01:00 PM,DMC,DMC-B01-R0101,MBBS,Morning,0,MB105,Study 335,<000094>
23/11/2019,01:00 PM,02:00 PM,DMC,DMC-B01-R0101,MBBS,Morning,A,MB104,Study Title 223,<000093>
23/11/2019,02:00 PM,03:30 PM,DMC,DMC-B01-R0101,MBBS,Morning,B,MB103,Study Title 335,<000083>
24/11/2019,08:30 AM,10:30 AM,DMC,DMC-B01-R0101,MBBS,Morning,0,OFF,0,0
24/11/2019,09:30 AM,10:30 AM,DMC,DMC-B01-R0101,MBBS,Morning,0,OFF,0,0
24/11/2019,10:30 AM,11:00 AM,DMC,DMC-B01-R0101,MBBS,Morning,0,OFF,0,0
24/11/2019,11:00 AM,01:00 PM,DMC,DMC-B01-R0101,MBBS,Morning,0,OFF,0,0
24/11/2019,01:00 PM,02:00 PM,DMC,DMC-B01-R0101,MBBS,Morning,0,OFF,0,0
24/11/2019,02:00 PM,03:30 PM,DMC,DMC-B01-R0101,MBBS,Morning,0,OFF,0,0
