date,st_time,en_time,campus,room,program,shift,group,course,study_title,lecturer_code
18/11/2019,08:30 AM,09:30 AM,DIDC,DIDC-B01-R0202,BDS,Morning,0,OFF,0,0
18/11/2019,09:30 AM,11:00 AM,DIDC,DIDC-B01-R0202,BDS,Morning,0,OFF,0,0
18/11/2019,11:00 AM,11:30 AM,DIDC,DIDC-B01-R0202,BDS,Morning,0,OFF,0,0
18/11/2019,11:30 AM,12:30 PM,DIDC,DIDC-B01-R0202,BDS,Morning,0,OFF,0,0
18/11/2019,12:30 PM,02:30 PM,DIDC,DIDC-B01-R0202,BDS,Morning,0,OFF,0,0
18/11/2019,12:30 PM,02:30 PM,DIDC,DIDC-B01-R0202,BDS,Morning,0,OFF,0,0
19/11/2019,08:30 AM,09:30 AM,DIDC,DIDC-B01-R0202,BDS,Morning,0,BD101,Study Title 04-11,<000126>
19/11/2019,09:30 AM,11:00 AM,DIDC,DIDC-B01-R0202,BDS,Morning,0,BD102,Study Title 04-11,<000126>
19/11/2019,11:00 AM,11:30 AM,DIDC,DIDC-B01-R0202,BDS,Morning,0,BREAK,0,0
19/11/2019,11:30 AM,12:30 PM,DIDC,DIDC-B01-R0202,BDS,Morning,0,BD103,Study Title 04-11,<000126>
19/11/2019,12:30 PM,02:30 PM,DIDC,DIDC-B01-R0202,BDS,Morning,A,BD104,Study Title 04-11,<000126>
19/11/2019,12:30 PM,02:30 PM,DIDC,DIDC-B02-R6006,BDS,Morning,B,BD105,Study Title 04-11,<000126>
20/11/2019,08:30 AM,09:30 AM,DIDC,DIDC-B01-R0202,BDS,Morning,0,BD204,Study Title 05-11,<000126>
20/11/2019,09:30 AM,11:00 AM,DIDC,DIDC-B01-R0202,BDS,Morning,0,BD202,Study Title 05-11,<000126>
20/11/2019,11:00 AM,11:30 AM,DIDC,DIDC-B01-R0202,BDS,Morning,0,BREAK,0,0
20/11/2019,11:30 AM,12:30 PM,DIDC,DIDC-B01-R0202,BDS,Morning,0,BD201,Study Title 05-11,<000126>
20/11/2019,12:30 PM,02:30 PM,DIDC,DIDC-B01-R0202,BDS,Morning,A,BD203,Study Title 05-11,<000126>
20/11/2019,12:30 PM,02:30 PM,DIDC,DIDC-B02-R6006,BDS,Morning,B,SEMINAR,Study Title 05-11,<000126>
21/11/2019,08:30 AM,09:30 AM,DIDC,DIDC-B01-R0202,BDS,Morning,0,BD204,Study Title 06-11,<000126>
21/11/2019,09:30 AM,11:00 AM,DIDC,DIDC-B01-R0202,BDS,Morning,0,BD205,English,<000126>
21/11/2019,11:00 AM,11:30 AM,DIDC,DIDC-B01-R0202,BDS,Morning,0,BREAK,0,0
21/11/2019,11:30 AM,12:30 PM,DIDC,DIDC-B01-R0202,BDS,Morning,0,BD202,English,<000126>
21/11/2019,12:30 PM,01:00 PM,DIDC,DIDC-B01-R0202,BDS,Morning,0,BD201,Study Title 06-11,<000126>
21/11/2019,01:00 PM,02:30 PM,DIDC,DIDC-B01-R0202,BDS,Morning,0,OFF,0,0
22/11/2019,08:30 AM,09:30 AM,DIDC,DIDC-B01-R0202,BDS,Morning,0,BD104,Study Title 07-11,<000126>
22/11/2019,09:30 AM,11:00 AM,DIDC,DIDC-B01-R0202,BDS,Morning,0,BD201,Study Tile 07-11,<000126>
22/11/2019,11:00 AM,11:30 AM,DIDC,DIDC-B01-R0202,BDS,Morning,0,BREAK,0,0
22/11/2019,11:30 AM,12:30 PM,DIDC,DIDC-B01-R0202,BDS,Morning,0,BD101,Study PD,<000126>
22/11/2019,12:30 PM,02:30 PM,DIDC,DIDC-B01-R0202,BDS,Morning,A,BD102,Study Title 07-11,<000126>
22/11/2019,12:30 PM,02:30 PM,DIDC,DIDC-B02-R6006,BDS,Morning,B,BD103,Study Title 07-11,<000126>
23/11/2019,08:30 AM,09:30 AM,DIDC,DIDC-B01-R0202,BDS,Morning,0,BD205,Study Title 08-11,<000126>
23/11/2019,09:30 AM,11:00 AM,DIDC,DIDC-B01-R0202,BDS,Morning,0,BD202,Study Title,<000126>
23/11/2019,11:00 AM,11:30 AM,DIDC,DIDC-B01-R0202,BDS,Morning,0,BREAK,0,0
23/11/2019,11:30 AM,12:30 PM,DIDC,DIDC-B01-R0202,BDS,Morning,0,BD103,Study Title,<000126>
23/11/2019,12:30 PM,01:00 PM,DIDC,DIDC-B01-R0202,BDS,Morning,0,BD104,Study Title 08-11,<000126>
23/11/2019,01:00 PM,02:30 PM,DIDC,DIDC-B01-R0202,BDS,Morning,0,OFF,0,0
24/11/2019,08:30 AM,09:30 AM,DIDC,DIDC-B01-R0202,BDS,Morning,0,BD105,Study Title 09-11,<000126>
24/11/2019,09:30 AM,11:00 AM,DIDC,DIDC-B01-R0202,BDS,Morning,0,BD104,Study Tile 09-11,<000126>
24/11/2019,11:00 AM,11:30 AM,DIDC,DIDC-B01-R0202,BDS,Morning,0,BREAK,0,0
