program_code,course_code,course_title,book_name,book_author,default_program_type_id,default_program_type_number,credit_hours,passing_marks,total_marks,is_active_course
MBBS,MB101,Medical Pharmacy-MB-901,0,0,Year,1,3,33,100,yes
MBBS,MB101,Medical Pharmacy-MB-901,0,0,Year,1,3,33,100,yes
MBBS,MB102,Medical Pharmacy-MB-902,0,0,Year,1,3,33,100,yes
MBBS,MB103,Medical Pharmacy-MB-903,0,0,Year,1,3,33,100,yes
MBBS,MB104,Medical Pharmacy-MB-904,0,0,Year,1,1,33,100,yes
MBBS,MB105,Medical Pharmacy-MB-905,0,0,Year,1,3,33,100,yes
MBBS,MB106,Medical Pharmacy-MB-906,0,0,Year,1,3,33,100,no
MBBS,MB107,Medical Pharmacy-MB-907,0,0,Year,1,3,33,100,no
MBBS,MB108,Medical Pharmacy-MB-908,0,0,Year,1,3,33,100,no
MBBS,MB109,Medical Pharmacy-MB-909,0,0,Year,1,3,33,100,no
MBBS,MB110,Medical Pharmacy-MB-910,0,0,Year,1,1,33,100,no
MBBS,MB201,Medical Pharmacy-MB-901,0,0,Year,1,3,33,100,yes
MBBS,MB202,Medical Pharmacy-MB-902,0,0,Year,1,3,33,100,yes
MBBS,MB203,Medical Pharmacy-MB-903,0,0,Year,1,3,33,100,yes
MBBS,MB204,Medical Pharmacy-MB-904,0,0,Year,1,1,33,100,yes
MBBS,MB205,Medical Pharmacy-MB-905,0,0,Year,1,3,33,100,yes
MBBS,MB206,Medical Pharmacy-MB-906,0,0,Year,1,3,33,100,no
MBBS,MB207,Medical Pharmacy-MB-901,0,0,Year,1,3,33,100,no
MBBS,MB208,Medical Pharmacy-MB-902,0,0,Year,1,3,33,100,no
MBBS,MB209,Medical Pharmacy-MB-903,0,0,Year,1,3,33,100,no
MBBS,MB210,Medical Pharmacy-MB-904,0,0,Year,1,1,33,100,no
BDS,BD101,Physical Pharmacy-BD-901,0,0,Semester,1,3,33,100,yes
BDS,BD102,Physical Pharmacy-BD-902,0,0,Semester,1,3,33,100,yes
BDS,BD103,Physical Pharmacy-BD-903,0,0,Semester,1,3,33,100,yes
BDS,BD104,Physical Pharmacy-BD-904,0,0,Semester,1,1,33,100,yes
BDS,BD105,Physical Pharmacy-BD-905,0,0,Semester,1,3,33,100,yes
BDS,BD106,Physical Pharmacy-BD-906,0,0,Semester,1,3,33,100,no
BDS,BD107,Physical Pharmacy-BD-901,0,0,Semester,1,3,33,100,no
BDS,BD108,Physical Pharmacy-BD-902,0,0,Semester,1,3,33,100,no
BDS,BD109,Physical Pharmacy-BD-903,0,0,Semester,1,3,33,100,no
BDS,BD110,Physical Pharmacy-BD-904,0,0,Semester,1,1,33,100,no
BDS,BD201,Physical Pharmacy-BD-901,0,0,Semester,1,3,33,100,yes
BDS,BD202,Physical Pharmacy-BD-902,0,0,Semester,1,3,33,100,yes
BDS,BD203,Physical Pharmacy-BD-903,0,0,Semester,1,3,33,100,yes
BDS,BD204,Physical Pharmacy-BD-904,0,0,Semester,1,1,33,100,yes
BDS,BD205,Physical Pharmacy-BD-905,0,0,Semester,1,3,33,100,yes
BDS,BD206,Physical Pharmacy-BD-906,0,0,Semester,1,3,33,100,no
BDS,BD207,Physical Pharmacy-BD-901,0,0,Semester,1,3,33,100,no
BDS,BD208,Physical Pharmacy-BD-902,0,0,Semester,1,3,33,100,no
BDS,BD209,Physical Pharmacy-BD-903,0,0,Semester,1,3,33,100,no
BDS,BD210,Physical Pharmacy-BD-904,0,0,Semester,1,1,33,100,no
