year,campus_code,program_code,student_code,course_code,enrollment_title,program_type,program_type_number,is_failed
2019,DMC,MBBS,<000001>,MB101,Year 2019,Yearly,1,0
2019,DMC,MBBS,<000001>,MB102,Year 2019,Yearly,1,0
2019,DMC,MBBS,<000001>,MB103,Year 2019,Yearly,1,0
2019,DMC,MBBS,<000001>,MB104,Year 2019,Yearly,1,0
2019,DMC,MBBS,<000001>,MB105,Year 2019,Yearly,1,0
2019,DMC,MBBS,<000002>,MB101,Year 2019,Yearly,1,0
2019,DMC,MBBS,<000002>,MB102,Year 2019,Yearly,1,0
2019,DMC,MBBS,<000002>,MB103,Year 2019,Yearly,1,0
2019,DMC,MBBS,<000002>,MB104,Year 2019,Yearly,1,0
2019,DMC,MBBS,<000002>,MB105,Year 2019,Yearly,1,0
2019,DMC,MBBS,<000003>,MB101,Year 2019,Yearly,1,0
2019,DMC,MBBS,<000003>,MB102,Year 2019,Yearly,1,0
2019,DMC,MBBS,<000003>,MB103,Year 2019,Yearly,1,0
2019,DMC,MBBS,<000003>,MB104,Year 2019,Yearly,1,0
2019,DMC,MBBS,<000003>,MB105,Year 2019,Yearly,1,0
2019,DMC,MBBS,<000005>,MB101,Year 2019,Yearly,1,0
2019,DMC,MBBS,<000005>,MB102,Year 2019,Yearly,1,0
2019,DMC,MBBS,<000005>,MB103,Year 2019,Yearly,1,0
2019,DMC,MBBS,<000005>,MB104,Year 2019,Yearly,1,0
2019,DMC,MBBS,<000005>,MB105,Year 2019,Yearly,1,0
2019,DMC,MBBS,<000007>,MB201,Year 2019,Yearly,2,0
2019,DMC,MBBS,<000007>,MB202,Year 2019,Yearly,2,0
2019,DMC,MBBS,<000007>,MB203,Year 2019,Yearly,2,0
2019,DMC,MBBS,<000007>,MB204,Year 2019,Yearly,2,0
2019,DMC,MBBS,<000007>,MB205,Year 2019,Yearly,2,0
2019,DMC,MBBS,<000008>,MB201,Year 2019,Yearly,2,0
2019,DMC,MBBS,<000008>,MB202,Year 2019,Yearly,2,0
2019,DMC,MBBS,<000008>,MB203,Year 2019,Yearly,2,0
2019,DMC,MBBS,<000008>,MB204,Year 2019,Yearly,2,0
2019,DMC,MBBS,<000008>,MB205,Year 2019,Yearly,2,0
2019,DMC,MBBS,<000009>,MB201,Year 2019,Yearly,2,0
2019,DMC,MBBS,<000009>,MB202,Year 2019,Yearly,2,0
2019,DMC,MBBS,<000009>,MB203,Year 2019,Yearly,2,0
2019,DMC,MBBS,<000009>,MB204,Year 2019,Yearly,2,0
2019,DMC,MBBS,<000009>,MB205,Year 2019,Yearly,2,0
2019,DMC,MBBS,<000010>,MB201,Year 2019,Yearly,2,0
2019,DMC,MBBS,<000010>,MB202,Year 2019,Yearly,2,0
2019,DMC,MBBS,<000010>,MB203,Year 2019,Yearly,2,0
2019,DMC,MBBS,<000010>,MB204,Year 2019,Yearly,2,0
2019,DMC,MBBS,<000010>,MB205,Year 2019,Yearly,2,0
2019,DMC,BDS,<000011>,BD101,Spring 2019,Semester,1,0
2019,DMC,BDS,<000011>,BD102,Spring 2019,Semester,1,0
