date,st_time,en_time,campus,room,program,shift,group,course,study_title,lecturer_code
11/04/2019,08:30 AM,09:30 AM,DIDC,DIDC-B01-R0101,MBBS,Morning,0,MB101,Study Title 04-11,<000081>
11/04/2019,09:30 AM,11:00 AM,DIDC,DIDC-B01-R0101,MBBS,Morning,0,MB102,Study Title 04-11,<000082>
11/04/2019,11:00 AM,11:30 AM,DIDC,DIDC-B01-R0101,MBBS,Morning,0,BREAK,0,0
11/04/2019,11:30 AM,12:30 PM,DIDC,DIDC-B01-R0101,MBBS,Morning,0,MB103,Study Title 04-11,<000091>
11/04/2019,12:30 PM,02:30 PM,DIDC,DIDC-B01-R0101,MBBS,Morning,A,MB104,Study Title 04-11,<000085>
11/04/2019,12:30 PM,02:30 PM,DIDC,DIDC-B01-R0101,MBBS,Morning,B,MB105,Study Title 04-11,<000086>
11/05/2019,08:30 AM,09:30 AM,DIDC,DIDC-B01-R0101,MBBS,Morning,0,MB204,Study Title 05-11,<000098>
11/05/2019,09:30 AM,11:00 AM,DIDC,DIDC-B01-R0101,MBBS,Morning,0,MB202,Study Title 05-11,<000088>
11/05/2019,11:00 AM,11:30 AM,DIDC,DIDC-B01-R0101,MBBS,Morning,0,BREAK,0,0
11/05/2019,11:30 AM,12:30 PM,DIDC,DIDC-B01-R0101,MBBS,Morning,0,MB201,Study Title 05-11,<000082>
11/05/2019,12:30 PM,02:30 PM,DIDC,DIDC-B01-R0101,MBBS,Morning,A,MB203,Study Title 05-11,<000094>
11/05/2019,12:30 PM,02:30 PM,DIDC,DIDC-B01-R0101,MBBS,Morning,B,SEMINAR,Study Title 05-11,<000098>
11/06/2019,08:30 AM,09:30 AM,DIDC,DIDC-B01-R0101,MBBS,Morning,0,MB204,Study Title 06-11,<000082>
11/06/2019,09:30 AM,11:00 AM,DIDC,DIDC-B01-R0101,MBBS,Morning,0,MB205,English,<000099>
11/06/2019,11:00 AM,11:30 AM,DIDC,DIDC-B01-R0101,MBBS,Morning,0,BREAK,0,0
11/06/2019,11:30 AM,12:30 PM,DIDC,DIDC-B01-R0101,MBBS,Morning,0,MB202,English,<000089>
11/06/2019,12:30 PM,01:00 PM,DIDC,DIDC-B01-R0101,MBBS,Morning,0,MB201,Study Title 06-11,<000083>
11/06/2019,01:00 PM,02:30 PM,DIDC,DIDC-B01-R0101,MBBS,Morning,0,OFF,0,0
11/07/2019,08:30 AM,09:30 AM,DIDC,DIDC-B01-R0101,MBBS,Morning,0,MB104,Study Title 07-11,<000089>
11/07/2019,09:30 AM,11:00 AM,DIDC,DIDC-B01-R0101,MBBS,Morning,0,MB201,Study Tile 07-11,<000099>
11/07/2019,11:00 AM,11:30 AM,DIDC,DIDC-B01-R0101,MBBS,Morning,0,BREAK,0,0
11/07/2019,11:30 AM,12:30 PM,DIDC,DIDC-B01-R0101,MBBS,Morning,0,MB101,Study PD,<000093>
11/07/2019,12:30 PM,02:30 PM,DIDC,DIDC-B01-R0101,MBBS,Morning,A,MB102,Study Title 07-11,<000086>
11/07/2019,12:30 PM,02:30 PM,DIDC,DIDC-B01-R0101,MBBS,Morning,B,MB103,Study Title 07-11,<000096>
11/08/2019,08:30 AM,09:30 AM,DIDC,DIDC-B01-R0101,MBBS,Morning,0,MB205,Study Title 08-11,<000089>
11/08/2019,09:30 AM,11:00 AM,DIDC,DIDC-B01-R0101,MBBS,Morning,0,MB202,Study Title,<000099>
11/08/2019,11:00 AM,11:30 AM,DIDC,DIDC-B01-R0101,MBBS,Morning,0,BREAK,0,0
11/08/2019,11:30 AM,12:30 PM,DIDC,DIDC-B01-R0101,MBBS,Morning,0,MB103,Study Title,<000081>
11/08/2019,12:30 PM,01:00 PM,DIDC,DIDC-B01-R0101,MBBS,Morning,0,MB104,Study Title 08-11,<000086>
11/08/2019,01:00 PM,02:30 PM,DIDC,DIDC-B01-R0101,MBBS,Morning,0,OFF,0,0
11/09/2019,08:30 AM,09:30 AM,DIDC,DIDC-B01-R0101,MBBS,Morning,0,MB105,Study Title 09-11,<000096>
11/09/2019,09:30 AM,11:00 AM,DIDC,DIDC-B01-R0101,MBBS,Morning,0,MB104,Study Tile 09-11,<000088>
11/09/2019,11:00 AM,11:30 AM,DIDC,DIDC-B01-R0101,MBBS,Morning,0,BREAK,0,0
11/09/2019,11:30 AM,12:30 PM,DIDC,DIDC-B01-R0101,MBBS,Morning,0,MB205,Study PD,<000094>
11/09/2019,12:30 PM,02:30 PM,DIDC,DIDC-B01-R0101,MBBS,Morning,A,MB204,Study Title 09-11,<000093>
11/09/2019,12:30 PM,02:30 PM,DIDC,DIDC-B01-R0101,MBBS,Morning,B,MB203,Study Title 09-11,<000083>
