year,campus_code,program_code,student_code,course_code,enrollment_title,program_type,type_number,is_course_failed
2019,IBHM,BBA,<918001>,PD2107,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918001>,PD2187,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918001>,PD2188,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918001>,PD2189,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918001>,PD2190,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918001>,PD2191,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918002>,PD2107,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918002>,PD2187,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918002>,PD2188,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918002>,PD2189,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918002>,PD2190,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918002>,PD2191,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918003>,PD2107,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918003>,PD2187,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918003>,PD2188,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918003>,PD2189,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918003>,PD2190,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918003>,PD2191,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918004>,PD2107,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918004>,PD2187,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918004>,PD2188,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918004>,PD2189,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918004>,PD2190,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918004>,PD2191,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918005>,PD2107,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918005>,PD2187,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918005>,PD2188,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918005>,PD2189,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918005>,PD2190,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918005>,PD2191,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918007>,PD2107,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918007>,PD2187,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918007>,PD2188,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918007>,PD2189,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918007>,PD2190,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918007>,PD2191,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918008>,PD2107,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918008>,PD2187,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918008>,PD2188,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918008>,PD2189,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918008>,PD2190,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918008>,PD2191,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918009>,PD2107,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918009>,PD2187,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918009>,PD2188,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918009>,PD2189,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918009>,PD2190,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918009>,PD2191,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918010>,PD2107,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918010>,PD2187,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918010>,PD2188,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918010>,PD2189,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918010>,PD2190,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918010>,PD2191,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918011>,PD2107,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918011>,PD2187,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918011>,PD2188,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918011>,PD2189,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918011>,PD2190,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918011>,PD2191,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918012>,PD2107,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918012>,PD2187,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918012>,PD2188,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918012>,PD2189,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918012>,PD2190,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918012>,PD2191,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918013>,PD2107,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918013>,PD2187,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918013>,PD2188,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918013>,PD2189,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918013>,PD2190,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918013>,PD2191,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918014>,PD2187,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918014>,PD2188,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918014>,PD2189,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918014>,PD2190,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918014>,PD2191,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918015>,PD2107,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918015>,PD2187,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918015>,PD2188,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918015>,PD2189,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918015>,PD2190,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918015>,PD2191,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918016>,PD2107,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918016>,PD2187,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918016>,PD2188,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918016>,PD2189,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918016>,PD2190,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918016>,PD2191,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918017>,PD2107,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918017>,PD2187,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918017>,PD2188,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918017>,PD2189,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918017>,PD2190,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918017>,PD2191,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918018>,PD2107,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918018>,PD2187,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918018>,PD2188,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918018>,PD2189,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918018>,PD2190,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918018>,PD2191,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918019>,PD2107,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918019>,PD2187,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918019>,PD2188,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918019>,PD2189,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918019>,PD2190,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918019>,PD2191,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<9180>,PD2107,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<9180>,PD2187,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<9180>,PD2188,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<9180>,PD2189,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<9180>,PD2190,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<9180>,PD2191,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918022>,PD2187,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918022>,PD2188,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918022>,PD2189,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918022>,PD2190,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918022>,PD2191,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918023>,PD2107,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918023>,PD2187,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918023>,PD2188,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918023>,PD2189,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918023>,PD2190,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918023>,PD2191,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918024>,PD2107,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918024>,PD2187,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918024>,PD2188,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918024>,PD2189,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918024>,PD2190,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918024>,PD2191,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918025>,PD2107,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918025>,PD2187,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918025>,PD2188,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918025>,PD2189,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918025>,PD2190,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918025>,PD2191,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918026>,PD2107,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918026>,PD2187,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918026>,PD2188,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918026>,PD2189,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918026>,PD2190,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918026>,PD2191,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918027>,PD2187,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918027>,PD2188,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918027>,PD2189,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918027>,PD2190,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918027>,PD2191,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918028>,PD2107,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918028>,PD2187,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918028>,PD2188,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918028>,PD2189,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918028>,PD2190,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918028>,PD2191,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918029>,PD2107,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918029>,PD2187,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918029>,PD2188,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918029>,PD2189,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918029>,PD2190,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918029>,PD2191,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918030>,PD2107,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918030>,PD2187,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918030>,PD2188,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918030>,PD2189,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918030>,PD2190,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918030>,PD2191,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918031>,PD2107,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918031>,PD2187,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918031>,PD2188,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918031>,PD2189,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918031>,PD2190,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918031>,PD2191,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918032>,PD2187,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918032>,PD2188,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918032>,PD2189,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918032>,PD2190,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918032>,PD2191,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918033>,PD2107,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918033>,PD2187,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918033>,PD2188,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918033>,PD2189,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918033>,PD2190,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918033>,PD2191,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918034>,PD2107,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918034>,PD2187,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918034>,PD2188,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918034>,PD2189,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918034>,PD2190,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918034>,PD2191,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918035>,PD2107,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918035>,PD2187,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918035>,PD2188,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918035>,PD2189,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918035>,PD2190,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918035>,PD2191,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918036>,PD2107,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918036>,PD2187,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918036>,PD2188,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918036>,PD2189,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918036>,PD2190,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918036>,PD2191,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918037>,PD2107,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918037>,PD2187,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918037>,PD2188,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918037>,PD2189,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918037>,PD2190,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918037>,PD2191,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918038>,PD2107,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918038>,PD2187,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918038>,PD2188,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918038>,PD2189,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918038>,PD2190,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918038>,PD2191,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918039>,PD2107,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918039>,PD2187,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918039>,PD2188,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918039>,PD2189,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918039>,PD2190,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918039>,PD2191,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918040>,PD2187,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918040>,PD2188,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918040>,PD2189,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918040>,PD2190,Fall 2019,SEMESTER,4,no
2019,IBHM,BBA,<918040>,PD2191,Fall 2019,SEMESTER,4,no
