date,st_time,en_time,campus,room,program,shift,group,course,study_title,lecturer_code
18/11/2019,08:30 AM,10:30 AM,DMC,DMC-B01-R0101,MBBS,Morning,0,OFF,0,0
18/11/2019,10:30 AM,11:00 AM,DMC,DMC-B01-R0101,MBBS,Morning,0,OFF,0,0
18/11/2019,11:00 AM,01:00 PM,DMC,DMC-B01-R0101,MBBS,Morning,0,OFF,0,0
18/11/2019,01:00 PM,02:00 PM,DMC,DMC-B01-R0101,MBBS,Morning,0,OFF,0,0
18/11/2019,02:00 PM,03:30 PM,DMC,DMC-B01-R0101,MBBS,Morning,0,OFF,0,0
19/11/2019,08:30 AM,10:30 AM,DMC,DMC-B01-R0101,MBBS,Morning,0,MB104,Study Title 111,<000006>
19/11/2019,10:30 AM,11:00 AM,DMC,DMC-B01-R0101,MBBS,Morning,0,BREAK,0,0
19/11/2019,11:00 AM,01:00 PM,DMC,DMC-B01-R0101,MBBS,Morning,0,MB104,Study Title 222,<000006>
19/11/2019,01:00 PM,02:00 PM,DMC,DMC-B01-R0101,MBBS,Morning,A,MB203,Study Title 333,<000006>
19/11/2019,02:00 PM,03:30 PM,DMC,DMC-B02-R1001,MBBS,Morning,B,MB105,Study Title 444,<000006>
20/11/2019,08:30 AM,10:30 AM,DMC,DMC-B01-R0101,MBBS,Morning,0,MB204,Study Title 555,<000006>
20/11/2019,10:30 AM,11:00 AM,DMC,DMC-B01-R0101,MBBS,Morning,0,BREAK,0,0
20/11/2019,11:00 AM,01:00 PM,DMC,DMC-B01-R0101,MBBS,Morning,0,MB102,ST 111,<000006>
20/11/2019,01:00 PM,02:00 PM,DMC,DMC-B01-R0101,MBBS,Morning,0,BREAK,0,0
20/11/2019,02:00 PM,03:30 PM,DMC,DMC-B01-R0101,MBBS,Morning,0,MB201,Study Title 666,<000006>
21/11/2019,08:30 AM,10:30 AM,DMC,DMC-B01-R0101,MBBS,Morning,0,MB204,Study Title 777,<000006>
21/11/2019,10:30 AM,11:00 AM,DMC,DMC-B01-R0101,MBBS,Morning,0,BREAK,0,0
21/11/2019,11:00 AM,01:00 PM,DMC,DMC-B01-R0101,MBBS,Morning,0,BREAK,0,0
21/11/2019,01:00 PM,02:00 PM,DMC,DMC-B01-R0101,MBBS,Morning,A,MB202,Study Title 888,<000006>
21/11/2019,02:00 PM,03:30 PM,DMC,DMC-B02-R1001,MBBS,Morning,B,MB203,Study Title 999,<000006>
22/11/2019,08:30 AM,10:30 AM,DMC,DMC-B01-R0101,MBBS,Morning,0,MB105,Study Title 112,<000006>
22/11/2019,10:30 AM,11:00 AM,DMC,DMC-B01-R0101,MBBS,Morning,0,BREAK,0,0
22/11/2019,11:00 AM,01:00 PM,DMC,DMC-B01-R0101,MBBS,Morning,0,MB203,Study Title 113,<000006>
22/11/2019,01:00 PM,02:00 PM,DMC,DMC-B01-R0101,MBBS,Morning,0,MB204,Study Title 221,<000006>
23/11/2019,08:30 AM,10:30 AM,DMC,DMC-B01-R0101,MBBS,Morning,0,MB205,Study Title 223,<000006>
23/11/2019,10:30 AM,11:00 AM,DMC,DMC-B01-R0101,MBBS,Morning,0,BREAK,0,0
23/11/2019,11:00 AM,01:00 PM,DMC,DMC-B01-R0101,MBBS,Morning,0,MB105,Study 221,<000006>
23/11/2019,01:00 PM,02:00 PM,DMC,DMC-B01-R0101,MBBS,Morning,A,MB104,Study Title 224,<000006>
23/11/2019,02:00 PM,03:30 PM,DMC,DMC-B02-R1001,MBBS,Morning,B,MB103,Study Title 225,<000006>
24/11/2019,08:30 AM,10:30 AM,DMC,DMC-B01-R0101,MBBS,Morning,0,MB205,Study Title 334,<000006>
24/11/2019,10:30 AM,11:00 AM,DMC,DMC-B01-R0101,MBBS,Morning,0,BREAK,0,0
24/11/2019,11:00 AM,01:00 PM,DMC,DMC-B01-R0101,MBBS,Morning,0,MB105,Study 335,<000006>
24/11/2019,01:00 PM,02:00 PM,DMC,DMC-B01-R0101,MBBS,Morning,A,MB104,Study Title 223,<000006>
24/11/2019,02:00 PM,03:30 PM,DMC,DMC-B02-R1001,MBBS,Morning,B,MB103,Study Title 335,<000006>
25/11/2019,08:30 AM,10:30 AM,DMC,DMC-B01-R0101,MBBS,Morning,0,OFF,0,0
25/11/2019,09:30 AM,10:30 AM,DMC,DMC-B01-R0101,MBBS,Morning,0,OFF,0,0
25/11/2019,10:30 AM,11:00 AM,DMC,DMC-B01-R0101,MBBS,Morning,0,OFF,0,0
25/11/2019,11:00 AM,01:00 PM,DMC,DMC-B01-R0101,MBBS,Morning,0,OFF,0,0
25/11/2019,01:00 PM,02:00 PM,DMC,DMC-B01-R0101,MBBS,Morning,0,OFF,0,0
25/11/2019,02:00 PM,03:30 PM,DMC,DMC-B01-R0101,MBBS,Morning,0,OFF,0,0
